batch_id,date,product,region,units_checked,defect,adulteration_fail,hygiene_fail,supplier_name,delivery_hours,cold_chain_breach,fat_percentage,snf_percentage,batch_temp,test_lab_name
BTCH000025,2024-08-04,Milk,Bangalore,147,4,1.1,1.03,Creamy Way,9.9,No,4.36,8.74,5.4,NABL Lab C
BTCH000026,2024-05-07,Lassi,Delhi,111,1,2.26,1.69,Milko Pure,6.7,Yes,3.81,8.22,7.0,NABL Lab C
BTCH000027,2024-06-02,Curd,Chennai,90,1,0.11,0.99,Creamy Way,8.6,Yes,3.29,9.46,5.3,NABL Lab B
BTCH000028,2024-04-21,Lassi,Delhi,114,4,0.8,1.66,Milko Pure,4.5,No,3.63,8.57,5.8,NABL Lab A
BTCH000029,2024-08-18,Lassi,Pune,112,2,1.61,0.9,Dairy Fresh,11.5,No,3.91,9.3,4.2,NABL Lab B
BTCH000030,2024-08-19,Ghee,Chennai,143,4,0.65,0.28,Green Valley,10.1,No,3.56,8.94,5.5,NABL Lab B
BTCH000031,2024-10-04,Ghee,Pune,122,2,2.6,1.8,Farm Roots,9.0,No,4.35,8.55,4.0,NABL Lab A
BTCH000032,2024-11-06,Paneer,Bangalore,100,0,0.37,0.09,Creamy Way,6.1,Yes,4.23,8.6,3.9,NABL Lab B
BTCH000033,2024-05-02,Paneer,Delhi,94,5,1.0,1.5,Farm Roots,18.6,Yes,4.49,8.34,6.6,NABL Lab B
BTCH000034,2024-06-22,Lassi,Delhi,121,4,2.65,1.18,Dairy Fresh,14.6,No,3.84,9.23,3.5,NABL Lab B
BTCH000035,2024-10-01,Ghee,Mumbai,138,0,0.25,1.41,Dairy Fresh,17.1,Yes,4.35,9.49,4.6,NABL Lab B
BTCH000036,2024-03-09,Paneer,Chennai,147,3,2.12,0.7,Green Valley,21.8,Yes,4.39,8.93,4.6,NABL Lab C
BTCH000037,2024-12-31,Milk,Bangalore,80,0,2.44,0.51,Dairy Fresh,6.8,No,3.88,8.31,5.3,NABL Lab C
BTCH000038,2024-09-24,Milk,Pune,112,5,1.42,0.6,Dairy Fresh,23.2,Yes,4.49,8.56,4.0,NABL Lab C
BTCH000039,2024-04-27,Curd,Bangalore,123,1,0.66,0.15,Dairy Fresh,11.7,No,4.04,9.02,6.3,NABL Lab C
BTCH000040,2024-09-05,Ghee,Chennai,131,1,0.15,1.87,Creamy Way,9.2,No,3.36,8.26,4.1,NABL Lab B
BTCH000041,2024-01-05,Lassi,Mumbai,136,4,1.3,1.16,Milko Pure,14.0,No,3.6,8.74,6.2,NABL Lab C
BTCH000042,2024-06-03,Curd,Bangalore,106,3,1.22,1.15,Dairy Fresh,14.4,Yes,4.03,8.49,5.3,NABL Lab B
BTCH000043,2024-12-21,Paneer,Chennai,103,5,1.64,0.14,Green Valley,14.6,No,3.71,8.74,4.5,NABL Lab B
BTCH000044,2024-08-12,Lassi,Mumbai,123,4,0.63,1.98,Green Valley,6.7,Yes,3.23,8.42,3.6,NABL Lab B
BTCH000045,2024-10-08,Milk,Pune,118,0,2.45,1.7,Creamy Way,23.6,Yes,3.9,9.19,3.1,NABL Lab B
BTCH000046,2024-05-09,Ghee,Delhi,111,1,1.55,1.73,Farm Roots,7.8,Yes,3.95,9.2,4.8,NABL Lab A
BTCH000047,2024-07-18,Curd,Bangalore,87,5,1.7,0.26,Dairy Fresh,23.7,No,3.5,8.88,3.2,NABL Lab A
BTCH000048,2024-02-29,Curd,Delhi,142,4,0.35,0.57,Green Valley,23.7,Yes,3.24,8.48,3.5,NABL Lab C
BTCH000049,2024-07-23,Lassi,Pune,122,2,1.27,0.71,Dairy Fresh,12.0,No,4.42,8.64,6.5,NABL Lab A
BTCH000050,2024-04-06,Milk,Delhi,148,4,0.74,0.86,Farm Roots,18.4,Yes,4.14,9.35,6.7,NABL Lab B
BTCH000051,2024-12-17,Lassi,Bangalore,88,5,1.21,1.03,Creamy Way,11.6,No,4.04,9.35,5.0,NABL Lab A
BTCH000052,2024-05-10,Curd,Delhi,136,5,2.19,1.1,Creamy Way,5.8,Yes,3.22,8.38,3.5,NABL Lab C
BTCH000053,2024-04-25,Paneer,Mumbai,117,3,0.79,1.16,Green Valley,6.0,Yes,3.42,8.31,6.3,NABL Lab A
BTCH000054,2024-06-22,Milk,Mumbai,113,1,2.13,0.97,Creamy Way,22.6,Yes,3.61,8.41,3.0,NABL Lab B
BTCH000055,2024-12-18,Curd,Chennai,147,5,1.18,0.78,Milko Pure,11.0,Yes,4.33,9.14,3.6,NABL Lab A
BTCH000056,2024-05-03,Paneer,Delhi,113,3,2.73,1.23,Farm Roots,19.7,No,3.68,8.34,3.8,NABL Lab B
BTCH000057,2024-09-10,Paneer,Delhi,106,1,0.93,1.49,Farm Roots,23.4,No,3.24,9.37,4.4,NABL Lab A
BTCH000058,2024-09-03,Paneer,Mumbai,111,2,1.56,1.44,Milko Pure,7.3,No,4.5,9.43,6.4,NABL Lab B
BTCH000059,2024-11-25,Paneer,Mumbai,127,4,1.27,0.72,Dairy Fresh,22.2,Yes,4.17,9.32,4.6,NABL Lab B
BTCH000060,2024-03-05,Milk,Delhi,148,1,0.76,1.37,Farm Roots,7.3,No,3.65,8.56,6.0,NABL Lab C
BTCH000061,2024-09-06,Paneer,Bangalore,150,2,2.21,1.69,Farm Roots,10.2,Yes,4.2,9.39,3.5,NABL Lab B
BTCH000062,2024-06-22,Lassi,Mumbai,134,1,0.05,0.24,Creamy Way,12.5,No,3.26,9.36,3.7,NABL Lab A
BTCH000063,2024-11-19,Ghee,Bangalore,122,5,1.28,0.89,Creamy Way,4.1,Yes,4.28,9.08,3.6,NABL Lab A
BTCH000064,2024-04-20,Curd,Pune,82,5,0.61,0.46,Creamy Way,23.4,No,3.49,8.39,6.6,NABL Lab B
BTCH000065,2024-02-19,Ghee,Chennai,118,0,2.73,0.24,Milko Pure,5.8,Yes,4.32,8.67,6.0,NABL Lab A
BTCH000066,2024-06-08,Paneer,Delhi,149,1,1.98,1.76,Creamy Way,10.4,No,4.25,8.52,3.2,NABL Lab C
BTCH000067,2024-06-13,Curd,Bangalore,124,2,2.69,0.19,Creamy Way,4.4,No,4.07,8.74,4.4,NABL Lab A
BTCH000068,2024-11-07,Milk,Delhi,121,5,0.62,0.4,Dairy Fresh,13.6,No,3.93,8.86,5.2,NABL Lab C
BTCH000069,2024-09-06,Curd,Bangalore,138,5,2.4,1.77,Creamy Way,23.6,No,3.42,8.79,4.4,NABL Lab C
BTCH000070,2024-05-29,Curd,Bangalore,139,1,0.96,1.25,Farm Roots,11.4,Yes,4.29,8.23,6.9,NABL Lab C
BTCH000071,2024-06-30,Curd,Bangalore,93,3,2.33,1.55,Dairy Fresh,20.1,No,3.62,9.16,6.8,NABL Lab B
BTCH000072,2024-03-16,Ghee,Pune,129,4,1.06,1.73,Creamy Way,14.2,Yes,3.3,8.86,4.6,NABL Lab C
BTCH000073,2024-09-13,Paneer,Bangalore,92,4,1.94,0.88,Milko Pure,15.3,Yes,3.94,8.92,6.2,NABL Lab A
BTCH000074,2024-11-22,Ghee,Delhi,104,3,1.51,1.2,Dairy Fresh,10.0,Yes,3.47,8.5,5.8,NABL Lab C
BTCH000075,2024-04-13,Ghee,Mumbai,92,0,2.29,1.09,Milko Pure,23.9,Yes,3.45,8.33,4.8,NABL Lab A
BTCH000076,2024-12-23,Milk,Bangalore,124,1,0.97,0.55,Creamy Way,19.3,Yes,3.55,8.81,7.0,NABL Lab B
BTCH000077,2024-06-28,Curd,Chennai,146,4,0.99,0.54,Farm Roots,7.2,No,3.9,9.5,3.4,NABL Lab C
BTCH000078,2024-06-11,Lassi,Mumbai,117,0,0.97,1.99,Milko Pure,12.9,No,3.23,9.4,4.0,NABL Lab B
BTCH000079,2024-03-27,Lassi,Bangalore,81,4,2.3,1.41,Milko Pure,6.5,No,3.3,9.34,5.9,NABL Lab B
BTCH000080,2024-09-17,Ghee,Bangalore,138,0,2.82,1.29,Milko Pure,23.1,Yes,3.55,8.66,6.3,NABL Lab B
BTCH000081,2024-07-21,Lassi,Mumbai,115,4,2.59,0.09,Dairy Fresh,16.3,Yes,4.34,8.76,3.3,NABL Lab B
BTCH000082,2024-07-26,Curd,Mumbai,139,3,1.15,1.18,Dairy Fresh,21.3,Yes,3.43,9.38,3.4,NABL Lab B
BTCH000083,2024-12-25,Lassi,Bangalore,132,2,1.38,0.79,Milko Pure,10.9,Yes,3.8,8.97,5.4,NABL Lab A
BTCH000084,2024-02-01,Curd,Pune,124,0,2.39,1.12,Milko Pure,6.3,No,4.03,9.06,3.2,NABL Lab A
BTCH000085,2024-08-21,Ghee,Chennai,141,4,2.52,1.11,Creamy Way,7.3,No,4.22,8.84,5.9,NABL Lab B
BTCH000086,2024-09-19,Milk,Delhi,87,1,1.61,1.26,Creamy Way,23.2,Yes,3.44,8.62,4.0,NABL Lab A
BTCH000087,2024-06-30,Paneer,Mumbai,150,5,0.02,0.58,Creamy Way,22.0,Yes,3.58,9.11,5.3,NABL Lab B
BTCH000088,2024-10-30,Ghee,Delhi,144,3,1.71,0.8,Milko Pure,17.7,No,4.02,8.99,6.5,NABL Lab B
BTCH000089,2024-12-19,Paneer,Delhi,99,4,0.24,1.5,Dairy Fresh,21.1,Yes,3.83,9.36,6.5,NABL Lab C
BTCH000090,2024-10-12,Lassi,Mumbai,140,2,1.03,1.62,Green Valley,10.3,No,4.44,8.42,6.8,NABL Lab A
BTCH000091,2024-01-25,Milk,Mumbai,130,1,2.87,1.12,Green Valley,17.8,Yes,4.31,8.73,6.0,NABL Lab C
BTCH000092,2024-02-11,Milk,Pune,143,2,0.87,1.17,Green Valley,13.9,No,3.84,8.51,4.9,NABL Lab B
BTCH000093,2024-02-11,Ghee,Pune,144,3,2.18,0.82,Green Valley,10.4,Yes,3.62,8.88,7.0,NABL Lab A
BTCH000094,2024-03-04,Milk,Bangalore,130,2,0.64,2.0,Green Valley,4.3,Yes,4.1,8.41,6.4,NABL Lab A
BTCH000095,2024-07-03,Milk,Chennai,123,3,2.88,0.66,Green Valley,18.9,No,4.17,9.24,3.9,NABL Lab C
BTCH000096,2024-06-08,Paneer,Delhi,87,1,0.09,0.73,Milko Pure,10.7,No,3.49,9.1,4.7,NABL Lab B
BTCH000097,2024-05-02,Milk,Mumbai,145,5,0.25,0.45,Creamy Way,11.2,No,4.47,8.42,3.5,NABL Lab C
BTCH000098,2024-02-05,Paneer,Chennai,122,1,1.16,1.55,Milko Pure,20.3,No,3.21,9.2,4.7,NABL Lab B
BTCH000099,2024-07-13,Paneer,Bangalore,129,0,2.61,1.13,Dairy Fresh,16.9,No,4.07,8.79,6.0,NABL Lab A
BTCH000100,2024-01-22,Paneer,Pune,131,3,2.35,0.5,Milko Pure,14.8,No,3.47,8.38,4.4,NABL Lab C
BTCH000101,2024-03-23,Ghee,Pune,98,5,0.61,1.58,Farm Roots,18.6,Yes,3.59,8.32,5.7,NABL Lab B
BTCH000102,2024-08-23,Milk,Bangalore,85,4,1.93,0.55,Dairy Fresh,11.6,No,3.76,9.14,4.3,NABL Lab A
BTCH000103,2024-11-27,Lassi,Chennai,145,1,1.8,0.5,Creamy Way,10.8,Yes,4.31,8.52,6.1,NABL Lab B
BTCH000104,2024-08-04,Paneer,Mumbai,82,4,2.45,1.73,Milko Pure,14.7,No,3.53,9.31,6.4,NABL Lab A
BTCH000105,2024-04-18,Paneer,Delhi,88,4,1.69,0.36,Milko Pure,21.0,No,3.28,9.39,5.6,NABL Lab B
BTCH000106,2024-07-15,Paneer,Chennai,110,3,0.71,1.05,Dairy Fresh,17.3,Yes,4.22,8.96,5.0,NABL Lab C
BTCH000107,2024-10-28,Ghee,Mumbai,100,5,2.53,0.51,Farm Roots,19.1,No,4.15,8.25,6.5,NABL Lab A
BTCH000108,2024-06-18,Curd,Bangalore,104,5,0.82,0.25,Creamy Way,17.1,No,3.79,9.46,3.4,NABL Lab B
BTCH000109,2024-12-06,Paneer,Chennai,101,0,0.76,1.12,Milko Pure,6.7,No,3.61,9.13,4.8,NABL Lab C
BTCH000110,2024-03-21,Curd,Delhi,95,5,2.4,0.63,Dairy Fresh,13.3,Yes,3.56,9.21,4.3,NABL Lab B
BTCH000111,2024-04-17,Paneer,Chennai,143,5,0.44,1.07,Farm Roots,7.1,No,4.08,8.48,5.7,NABL Lab C
BTCH000112,2024-02-26,Ghee,Bangalore,115,1,1.73,1.04,Dairy Fresh,5.5,No,3.6,8.72,3.7,NABL Lab C
BTCH000113,2024-05-02,Milk,Bangalore,83,2,2.32,1.25,Dairy Fresh,23.7,No,3.25,9.35,3.6,NABL Lab A
BTCH000114,2024-07-19,Milk,Bangalore,105,1,2.69,0.36,Creamy Way,22.0,Yes,3.84,8.53,4.1,NABL Lab B
BTCH000115,2024-09-07,Ghee,Bangalore,141,4,2.97,0.2,Creamy Way,22.6,No,3.4,8.4,5.0,NABL Lab B
BTCH000116,2024-03-15,Milk,Delhi,127,1,1.86,1.13,Green Valley,8.8,Yes,4.15,8.45,3.5,NABL Lab C
BTCH000117,2024-02-26,Milk,Bangalore,93,0,2.3,0.4,Milko Pure,15.3,Yes,4.36,8.68,6.1,NABL Lab B
BTCH000118,2024-12-03,Milk,Pune,123,3,1.26,1.96,Farm Roots,22.2,Yes,4.47,9.01,4.0,NABL Lab B
BTCH000119,2024-05-14,Milk,Bangalore,116,4,1.06,0.54,Farm Roots,4.8,No,3.22,9.09,6.6,NABL Lab B
BTCH000120,2024-05-31,Milk,Pune,110,4,1.53,1.86,Farm Roots,14.9,Yes,3.89,9.1,5.5,NABL Lab A
BTCH000121,2024-09-09,Milk,Chennai,136,4,2.73,0.13,Green Valley,12.9,No,3.86,8.7,5.9,NABL Lab B
BTCH000122,2024-10-11,Lassi,Pune,108,2,2.21,1.82,Farm Roots,6.3,No,4.07,8.53,6.4,NABL Lab B
BTCH000123,2024-01-11,Curd,Pune,121,0,1.76,0.0,Dairy Fresh,12.0,No,4.27,9.05,4.7,NABL Lab A
BTCH000124,2024-02-11,Curd,Chennai,125,3,2.73,1.33,Dairy Fresh,8.7,No,4.32,9.13,3.1,NABL Lab C
BTCH000125,2024-09-23,Paneer,Mumbai,149,5,1.82,1.54,Green Valley,16.1,Yes,3.38,8.36,5.7,NABL Lab C
BTCH000126,2024-12-20,Lassi,Mumbai,129,2,0.67,0.65,Milko Pure,23.9,No,3.29,8.78,3.1,NABL Lab C
BTCH000127,2024-11-09,Milk,Delhi,100,1,0.14,1.06,Green Valley,17.5,No,3.51,9.1,5.8,NABL Lab A
BTCH000128,2024-04-19,Ghee,Pune,89,3,0.58,0.38,Milko Pure,20.5,Yes,3.54,8.47,6.5,NABL Lab A
BTCH000129,2024-01-12,Lassi,Pune,86,5,0.09,1.11,Green Valley,10.7,No,3.22,9.08,3.1,NABL Lab A
BTCH000130,2024-12-06,Lassi,Bangalore,136,4,1.91,1.92,Green Valley,18.3,No,4.49,9.34,4.9,NABL Lab C
BTCH000131,2024-12-03,Milk,Mumbai,146,4,1.04,1.35,Milko Pure,24.0,Yes,4.24,8.67,6.3,NABL Lab A
BTCH000132,2024-09-29,Ghee,Bangalore,113,3,2.69,1.95,Green Valley,7.9,No,3.89,9.03,3.8,NABL Lab C
BTCH000133,2024-03-07,Curd,Chennai,107,2,2.95,1.73,Milko Pure,19.3,No,3.68,8.5,3.1,NABL Lab C
BTCH000134,2024-04-01,Lassi,Pune,80,4,1.04,1.72,Dairy Fresh,10.6,Yes,3.41,8.57,6.0,NABL Lab A
BTCH000135,2024-08-25,Ghee,Mumbai,107,3,1.29,1.79,Dairy Fresh,11.6,No,3.5,8.41,6.6,NABL Lab B
BTCH000136,2024-06-15,Paneer,Pune,84,4,2.03,0.07,Creamy Way,20.2,Yes,3.72,8.63,6.3,NABL Lab A
BTCH000137,2024-11-05,Curd,Bangalore,95,2,0.39,1.73,Green Valley,7.9,No,3.87,9.3,3.7,NABL Lab B
BTCH000138,2024-10-15,Curd,Delhi,117,5,2.74,1.08,Creamy Way,10.9,No,4.2,9.38,3.3,NABL Lab C
BTCH000139,2024-11-01,Ghee,Bangalore,140,4,0.38,1.86,Dairy Fresh,22.0,Yes,3.92,9.42,5.9,NABL Lab A
BTCH000140,2024-11-30,Lassi,Delhi,125,4,1.51,1.28,Milko Pure,21.5,No,3.66,8.66,6.9,NABL Lab C
BTCH000141,2024-12-02,Ghee,Pune,121,5,1.08,1.45,Creamy Way,17.1,Yes,3.3,8.58,6.2,NABL Lab C
BTCH000142,2024-05-24,Milk,Mumbai,114,2,0.3,0.51,Green Valley,7.2,No,3.93,9.1,3.7,NABL Lab B
BTCH000143,2024-09-02,Paneer,Chennai,126,3,2.19,1.86,Farm Roots,15.2,No,4.22,8.98,4.1,NABL Lab C
BTCH000144,2024-09-15,Ghee,Pune,147,2,2.16,1.17,Creamy Way,23.3,Yes,3.34,8.8,5.5,NABL Lab C
BTCH000145,2024-05-22,Paneer,Bangalore,127,1,0.58,1.57,Farm Roots,6.4,No,4.06,8.43,5.8,NABL Lab A
BTCH000146,2024-07-09,Milk,Bangalore,86,5,1.35,0.8,Milko Pure,17.5,No,4.13,8.91,6.4,NABL Lab C
BTCH000147,2024-03-05,Paneer,Mumbai,149,2,0.42,1.97,Creamy Way,12.3,No,4.06,8.6,4.3,NABL Lab B
BTCH000148,2024-05-14,Curd,Chennai,98,1,2.98,0.22,Farm Roots,8.0,Yes,4.44,9.0,4.1,NABL Lab B
BTCH000149,2024-06-07,Lassi,Bangalore,124,3,1.17,0.8,Farm Roots,13.8,No,4.31,9.48,7.0,NABL Lab A
BTCH000150,2024-04-18,Paneer,Pune,90,4,0.64,1.67,Dairy Fresh,21.2,No,4.14,8.81,4.8,NABL Lab C
BTCH000151,2024-06-08,Milk,Mumbai,123,5,1.63,0.81,Green Valley,18.9,Yes,4.4,8.84,5.1,NABL Lab A
BTCH000152,2024-09-14,Ghee,Delhi,92,4,1.02,0.87,Milko Pure,4.1,Yes,4.01,9.44,3.2,NABL Lab B
BTCH000153,2024-11-18,Ghee,Delhi,84,2,1.79,1.33,Milko Pure,16.0,No,3.82,8.4,6.6,NABL Lab B
BTCH000154,2024-09-07,Milk,Pune,115,2,2.13,1.61,Dairy Fresh,10.6,No,3.98,8.87,6.1,NABL Lab C
BTCH000155,2024-07-09,Lassi,Mumbai,131,3,0.01,1.88,Creamy Way,17.9,No,3.78,9.42,4.6,NABL Lab C
BTCH000156,2024-10-04,Curd,Pune,112,4,2.61,1.27,Milko Pure,17.4,No,3.57,8.62,6.1,NABL Lab C
BTCH000157,2024-03-06,Milk,Chennai,95,5,0.37,1.28,Dairy Fresh,9.4,Yes,3.98,8.55,5.1,NABL Lab A
BTCH000158,2024-08-04,Ghee,Chennai,131,1,1.37,1.26,Milko Pure,11.1,No,3.89,9.0,6.2,NABL Lab B
BTCH000159,2024-01-22,Paneer,Delhi,124,2,1.89,1.0,Dairy Fresh,23.5,No,3.6,9.24,6.4,NABL Lab B
BTCH000160,2024-04-25,Ghee,Pune,88,4,2.72,1.68,Green Valley,7.1,No,4.34,9.06,4.0,NABL Lab C
BTCH000161,2024-09-18,Milk,Pune,93,3,2.02,0.66,Creamy Way,17.8,Yes,4.27,9.33,6.8,NABL Lab B
BTCH000162,2024-11-11,Curd,Bangalore,150,2,1.49,1.27,Dairy Fresh,11.0,No,3.6,8.5,4.7,NABL Lab A
BTCH000163,2024-09-20,Milk,Bangalore,82,4,2.46,1.55,Creamy Way,14.9,Yes,3.71,8.28,3.9,NABL Lab A
BTCH000164,2024-12-22,Milk,Mumbai,119,1,1.55,1.2,Farm Roots,5.6,Yes,3.28,9.26,5.1,NABL Lab B
BTCH000165,2024-08-01,Ghee,Bangalore,128,4,0.04,1.5,Milko Pure,15.0,Yes,4.22,8.42,3.1,NABL Lab A
BTCH000166,2024-08-17,Paneer,Pune,140,2,1.53,0.13,Milko Pure,12.2,Yes,4.41,9.2,4.7,NABL Lab B
BTCH000167,2024-09-02,Paneer,Delhi,110,4,0.74,0.88,Milko Pure,15.5,No,4.26,9.38,5.0,NABL Lab A
BTCH000168,2024-08-25,Ghee,Delhi,142,3,2.22,1.16,Creamy Way,7.5,No,3.85,9.12,4.0,NABL Lab B
BTCH000169,2024-09-09,Paneer,Delhi,89,5,1.14,0.14,Creamy Way,16.0,Yes,3.54,9.26,4.2,NABL Lab A
BTCH000170,2024-09-10,Paneer,Bangalore,126,4,0.52,0.77,Dairy Fresh,13.9,No,4.3,8.92,3.8,NABL Lab C
BTCH000171,2024-01-25,Paneer,Delhi,94,2,1.0,0.46,Green Valley,16.6,Yes,4.26,8.33,5.0,NABL Lab C
BTCH000172,2024-10-04,Ghee,Mumbai,103,4,1.47,1.18,Farm Roots,10.1,No,3.24,9.01,5.5,NABL Lab B
BTCH000173,2024-08-29,Paneer,Bangalore,128,1,0.02,0.97,Green Valley,13.4,Yes,3.46,8.49,4.1,NABL Lab B
BTCH000174,2024-07-26,Curd,Bangalore,80,2,2.14,1.95,Creamy Way,8.5,No,3.63,8.22,5.4,NABL Lab B
BTCH000175,2024-09-20,Lassi,Chennai,126,3,2.99,1.96,Dairy Fresh,15.2,No,3.87,8.46,6.3,NABL Lab B
BTCH000176,2024-09-28,Paneer,Pune,147,4,0.5,1.18,Dairy Fresh,15.9,Yes,3.54,9.5,3.8,NABL Lab B
BTCH000177,2024-05-17,Lassi,Bangalore,126,4,0.24,1.36,Creamy Way,5.4,No,3.8,9.27,3.4,NABL Lab C
BTCH000178,2024-10-06,Curd,Mumbai,141,5,2.22,0.47,Green Valley,7.9,Yes,4.31,8.39,4.5,NABL Lab A
BTCH000179,2024-12-25,Curd,Chennai,119,3,2.21,1.56,Creamy Way,13.1,Yes,3.46,8.66,3.3,NABL Lab C
BTCH000180,2024-11-25,Ghee,Mumbai,89,3,2.57,0.9,Green Valley,20.3,Yes,3.69,8.69,3.7,NABL Lab B
BTCH000181,2024-01-26,Lassi,Pune,109,0,1.27,1.97,Dairy Fresh,17.9,Yes,3.62,8.88,3.9,NABL Lab A
BTCH000182,2024-06-03,Milk,Pune,134,3,1.48,0.56,Creamy Way,19.9,No,3.9,9.36,3.9,NABL Lab B
BTCH000183,2024-06-05,Paneer,Pune,102,4,1.01,1.52,Farm Roots,9.0,No,3.32,8.93,3.3,NABL Lab C
BTCH000184,2024-04-02,Curd,Chennai,106,4,1.13,0.63,Green Valley,23.9,Yes,3.4,8.28,5.5,NABL Lab A
BTCH000185,2024-09-27,Milk,Pune,99,5,0.07,0.94,Milko Pure,5.8,No,3.31,8.81,3.5,NABL Lab A
BTCH000186,2024-08-18,Curd,Chennai,110,0,0.99,1.92,Creamy Way,4.3,No,3.77,8.59,5.0,NABL Lab A
BTCH000187,2024-10-15,Ghee,Delhi,127,5,1.63,1.65,Green Valley,9.0,Yes,4.02,9.37,3.7,NABL Lab C
BTCH000188,2024-05-29,Lassi,Mumbai,95,3,1.5,0.93,Farm Roots,15.5,Yes,3.78,8.47,6.8,NABL Lab B
BTCH000189,2024-09-03,Curd,Bangalore,146,3,0.83,0.33,Creamy Way,4.3,No,3.93,8.8,3.8,NABL Lab C
BTCH000190,2024-10-28,Ghee,Mumbai,132,5,0.31,0.82,Farm Roots,17.1,No,3.49,8.94,5.1,NABL Lab B
BTCH000191,2024-03-09,Paneer,Pune,147,3,1.73,0.07,Green Valley,7.1,Yes,3.82,8.83,4.1,NABL Lab B
BTCH000192,2024-10-16,Curd,Pune,133,3,1.45,1.08,Green Valley,22.0,Yes,3.69,9.08,5.8,NABL Lab B
BTCH000193,2024-09-22,Lassi,Chennai,86,1,2.12,1.43,Farm Roots,12.5,No,4.26,8.46,3.6,NABL Lab B
BTCH000194,2024-08-26,Curd,Delhi,130,3,2.64,1.84,Dairy Fresh,7.3,Yes,3.85,9.28,4.2,NABL Lab C
BTCH000195,2024-05-20,Milk,Bangalore,147,0,2.29,1.69,Dairy Fresh,22.0,No,4.16,8.53,3.2,NABL Lab A
BTCH000196,2024-10-03,Ghee,Mumbai,96,4,0.84,1.68,Dairy Fresh,20.7,No,3.48,8.55,4.9,NABL Lab A
BTCH000197,2024-10-24,Milk,Mumbai,121,1,1.87,0.22,Creamy Way,13.8,No,4.09,8.37,6.9,NABL Lab C
