return_id,return_date,product,return_units,return_reason,reason_category,delivery_delay_hours,product_batch_id,resolved_by_team
RTN000022,2025-06-10,Curd,9,Spoiled,Quality,6.8,BTCH015015,Quality Control
RTN000023,2025-04-16,Lassi,5,Damaged Packaging,Packaging,1.1,BTCH056986,Logistics
RTN000024,2025-01-30,Ghee,1,Damaged Packaging,Packaging,9.7,BTCH099872,Logistics
RTN000025,2024-08-20,Lassi,2,Damaged Packaging,Packaging,8.4,BTCH066541,Quality Control
RTN000026,2025-05-26,Paneer,3,Damaged Packaging,Packaging,7.6,BTCH070698,Quality Control
RTN000027,2025-07-02,Milk,10,Damaged Packaging,Packaging,4.9,BTCH014663,Customer Care
RTN000028,2025-01-08,Curd,4,Spoiled,Quality,2.4,BTCH074365,Logistics
RTN000029,2024-09-01,Milk,8,Spoiled,Quality,9.8,BTCH069823,Logistics
RTN000030,2025-07-08,Paneer,8,Taste Issue,Quality,1.7,BTCH069164,Quality Control
RTN000031,2025-06-16,Ghee,4,Taste Issue,Quality,7.6,BTCH090423,Logistics
RTN000032,2024-12-06,Curd,7,Damaged Packaging,Packaging,4.4,BTCH067840,Customer Care
RTN000033,2025-07-09,Milk,4,Late Delivery,Delivery,0.6,BTCH002758,Quality Control
RTN000034,2024-11-10,Lassi,4,Taste Issue,Quality,2.2,BTCH009306,Quality Control
RTN000035,2025-02-04,Milk,4,Spoiled,Quality,9.1,BTCH043310,Logistics
RTN000036,2025-02-20,Lassi,4,Damaged Packaging,Packaging,6.7,BTCH028081,Quality Control
RTN000037,2025-07-11,Paneer,10,Taste Issue,Quality,4.7,BTCH061994,Customer Care
RTN000038,2025-07-03,Paneer,2,Spoiled,Quality,6.6,BTCH046439,Customer Care
RTN000039,2025-02-18,Ghee,8,Spoiled,Quality,6.7,BTCH084697,Logistics
RTN000040,2024-11-05,Milk,7,Damaged Packaging,Packaging,8.0,BTCH014323,Logistics
RTN000041,2024-10-14,Paneer,4,Taste Issue,Quality,4.5,BTCH055297,Logistics
RTN000042,2025-01-27,Curd,8,Late Delivery,Delivery,8.7,BTCH009881,Customer Care
RTN000043,2025-02-19,Lassi,2,Spoiled,Quality,6.5,BTCH070856,Logistics
RTN000044,2025-05-04,Milk,4,Late Delivery,Delivery,4.1,BTCH063093,Logistics
RTN000045,2024-10-09,Ghee,1,Late Delivery,Delivery,3.8,BTCH051174,Customer Care
RTN000046,2025-06-27,Ghee,5,Wrong Product,Operations,7.0,BTCH095749,Quality Control
RTN000047,2025-05-17,Ghee,3,Late Delivery,Delivery,3.0,BTCH007666,Quality Control
RTN000048,2024-12-18,Lassi,1,Damaged Packaging,Packaging,0.6,BTCH076570,Customer Care
RTN000049,2024-09-27,Lassi,9,Late Delivery,Delivery,0.6,BTCH066563,Logistics
RTN000050,2024-12-06,Paneer,2,Taste Issue,Quality,0.7,BTCH030829,Customer Care
RTN000051,2025-07-01,Milk,10,Late Delivery,Delivery,5.8,BTCH005210,Quality Control
RTN000052,2024-10-13,Milk,7,Taste Issue,Quality,5.7,BTCH041468,Customer Care
RTN000053,2025-04-24,Paneer,6,Late Delivery,Delivery,2.7,BTCH017155,Quality Control
RTN000054,2025-05-19,Curd,8,Damaged Packaging,Packaging,9.3,BTCH009509,Logistics
RTN000055,2024-09-22,Ghee,10,Taste Issue,Quality,10.0,BTCH009603,Quality Control
RTN000056,2025-02-09,Paneer,9,Damaged Packaging,Packaging,1.3,BTCH045746,Logistics
RTN000057,2025-04-17,Paneer,6,Damaged Packaging,Packaging,1.6,BTCH071201,Quality Control
RTN000058,2024-08-29,Curd,10,Taste Issue,Quality,0.1,BTCH072693,Customer Care
RTN000059,2025-05-24,Milk,3,Damaged Packaging,Packaging,1.2,BTCH014030,Quality Control
RTN000060,2025-05-27,Lassi,3,Damaged Packaging,Packaging,2.8,BTCH027608,Quality Control
RTN000061,2025-02-23,Curd,4,Damaged Packaging,Packaging,5.1,BTCH032915,Logistics
RTN000062,2025-01-31,Milk,7,Damaged Packaging,Packaging,0.4,BTCH043720,Logistics
RTN000063,2024-09-06,Curd,3,Wrong Product,Operations,5.5,BTCH056058,Quality Control
RTN000064,2025-01-26,Milk,2,Spoiled,Quality,9.5,BTCH090574,Logistics
RTN000065,2025-04-06,Lassi,1,Damaged Packaging,Packaging,5.8,BTCH019411,Customer Care
RTN000066,2024-12-25,Paneer,1,Damaged Packaging,Packaging,3.6,BTCH005230,Customer Care
RTN000067,2025-03-03,Paneer,4,Spoiled,Quality,3.5,BTCH073386,Customer Care
RTN000068,2025-02-09,Lassi,3,Late Delivery,Delivery,8.6,BTCH023207,Customer Care
RTN000069,2024-11-14,Milk,3,Damaged Packaging,Packaging,7.8,BTCH053965,Quality Control
RTN000070,2025-01-12,Paneer,5,Late Delivery,Delivery,7.9,BTCH014169,Customer Care
RTN000071,2025-05-17,Milk,8,Late Delivery,Delivery,2.0,BTCH060333,Customer Care
RTN000072,2024-12-24,Curd,4,Late Delivery,Delivery,0.2,BTCH025314,Customer Care
RTN000073,2025-01-28,Curd,5,Spoiled,Quality,9.7,BTCH036586,Customer Care
RTN000074,2025-02-11,Lassi,7,Taste Issue,Quality,3.3,BTCH003618,Logistics
RTN000075,2024-09-30,Curd,3,Taste Issue,Quality,9.6,BTCH034796,Logistics
RTN000076,2025-05-23,Milk,10,Wrong Product,Operations,3.5,BTCH041115,Customer Care
RTN000077,2025-07-03,Lassi,9,Spoiled,Quality,3.9,BTCH075575,Logistics
RTN000078,2024-08-22,Curd,1,Wrong Product,Operations,0.0,BTCH070576,Quality Control
RTN000079,2024-12-19,Paneer,6,Wrong Product,Operations,0.7,BTCH087063,Customer Care
RTN000080,2025-01-12,Lassi,6,Spoiled,Quality,7.2,BTCH039364,Quality Control
RTN000081,2025-05-07,Curd,7,Damaged Packaging,Packaging,4.0,BTCH038753,Quality Control
RTN000082,2024-09-03,Paneer,4,Wrong Product,Operations,6.6,BTCH049696,Quality Control
RTN000083,2025-03-07,Paneer,10,Taste Issue,Quality,3.0,BTCH071820,Logistics
RTN000084,2025-04-17,Curd,5,Late Delivery,Delivery,4.3,BTCH076020,Quality Control
RTN000085,2024-08-10,Curd,8,Wrong Product,Operations,4.4,BTCH028011,Quality Control
RTN000086,2024-09-07,Ghee,3,Spoiled,Quality,2.8,BTCH087013,Quality Control
RTN000087,2025-06-15,Lassi,6,Spoiled,Quality,8.2,BTCH098454,Logistics
RTN000088,2025-02-24,Curd,4,Late Delivery,Delivery,1.5,BTCH006058,Logistics
RTN000089,2025-01-24,Ghee,10,Spoiled,Quality,4.6,BTCH082545,Quality Control
RTN000090,2024-11-12,Paneer,7,Wrong Product,Operations,4.0,BTCH019343,Quality Control
RTN000091,2024-11-01,Milk,2,Wrong Product,Operations,2.2,BTCH091215,Quality Control
RTN000092,2024-11-04,Ghee,1,Taste Issue,Quality,2.5,BTCH015907,Customer Care
RTN000093,2024-08-21,Paneer,8,Taste Issue,Quality,9.9,BTCH078048,Customer Care
RTN000094,2024-12-11,Ghee,10,Taste Issue,Quality,4.3,BTCH071811,Customer Care
RTN000095,2025-04-29,Paneer,8,Wrong Product,Operations,2.6,BTCH032407,Quality Control
RTN000096,2025-02-09,Curd,9,Wrong Product,Operations,6.3,BTCH035993,Customer Care
RTN000097,2025-01-30,Milk,5,Late Delivery,Delivery,2.7,BTCH041905,Quality Control
RTN000098,2025-07-31,Milk,3,Late Delivery,Delivery,2.3,BTCH090958,Logistics
RTN000099,2024-11-09,Paneer,2,Wrong Product,Operations,4.1,BTCH071122,Customer Care
RTN000100,2024-12-01,Ghee,1,Late Delivery,Delivery,8.3,BTCH051050,Quality Control
RTN000101,2024-12-06,Milk,10,Wrong Product,Operations,4.8,BTCH046106,Customer Care
RTN000102,2025-04-03,Ghee,7,Taste Issue,Quality,7.5,BTCH071583,Quality Control
RTN000103,2025-06-20,Paneer,8,Late Delivery,Delivery,2.7,BTCH063655,Logistics
RTN000104,2025-04-01,Ghee,6,Wrong Product,Operations,7.2,BTCH061262,Logistics
RTN000105,2025-04-26,Lassi,9,Spoiled,Quality,9.1,BTCH077581,Quality Control
RTN000106,2024-11-26,Milk,2,Wrong Product,Operations,1.4,BTCH060516,Logistics
RTN000107,2024-10-09,Milk,5,Wrong Product,Operations,3.3,BTCH059599,Customer Care
RTN000108,2024-12-24,Curd,7,Damaged Packaging,Packaging,7.5,BTCH055256,Customer Care
RTN000109,2024-10-20,Milk,8,Spoiled,Quality,7.5,BTCH006827,Customer Care
RTN000110,2024-11-13,Paneer,2,Spoiled,Quality,7.5,BTCH032412,Logistics
RTN000111,2024-09-24,Milk,10,Late Delivery,Delivery,2.4,BTCH062071,Quality Control
RTN000112,2025-06-27,Milk,10,Late Delivery,Delivery,4.7,BTCH033587,Customer Care
RTN000113,2025-01-31,Paneer,10,Taste Issue,Quality,9.6,BTCH094157,Logistics
RTN000114,2024-09-26,Paneer,5,Spoiled,Quality,5.8,BTCH040889,Quality Control
RTN000115,2024-12-04,Ghee,7,Late Delivery,Delivery,0.8,BTCH090521,Quality Control
RTN000116,2024-10-18,Paneer,2,Damaged Packaging,Packaging,8.5,BTCH078698,Logistics
RTN000117,2025-04-04,Lassi,1,Damaged Packaging,Packaging,5.3,BTCH086707,Customer Care
RTN000118,2025-02-23,Milk,9,Damaged Packaging,Packaging,0.1,BTCH055058,Customer Care
RTN000119,2025-06-25,Milk,7,Damaged Packaging,Packaging,6.4,BTCH060259,Quality Control
RTN000120,2024-09-17,Paneer,7,Late Delivery,Delivery,7.3,BTCH085257,Customer Care
RTN000121,2025-07-18,Lassi,9,Wrong Product,Operations,4.6,BTCH095818,Quality Control
RTN000122,2025-07-29,Curd,6,Late Delivery,Delivery,8.3,BTCH011360,Customer Care
RTN000123,2024-08-07,Ghee,4,Wrong Product,Operations,5.7,BTCH087581,Customer Care
RTN000124,2025-06-25,Curd,1,Wrong Product,Operations,8.5,BTCH023835,Customer Care
RTN000125,2025-07-12,Paneer,6,Damaged Packaging,Packaging,3.4,BTCH078140,Quality Control
RTN000126,2025-03-25,Curd,9,Spoiled,Quality,5.2,BTCH025043,Logistics
RTN000127,2025-06-13,Paneer,7,Wrong Product,Operations,5.6,BTCH031500,Quality Control
RTN000128,2025-07-08,Ghee,8,Wrong Product,Operations,7.9,BTCH012197,Customer Care
RTN000129,2024-10-05,Paneer,7,Late Delivery,Delivery,3.1,BTCH076226,Customer Care
RTN000130,2025-01-06,Ghee,9,Taste Issue,Quality,3.4,BTCH097772,Quality Control
RTN000131,2025-04-03,Curd,6,Wrong Product,Operations,2.7,BTCH032952,Logistics
RTN000132,2025-04-07,Milk,4,Damaged Packaging,Packaging,1.2,BTCH070237,Quality Control
RTN000133,2025-04-13,Paneer,4,Late Delivery,Delivery,7.4,BTCH036242,Quality Control
RTN000134,2024-11-26,Lassi,9,Taste Issue,Quality,2.8,BTCH013177,Logistics
RTN000135,2024-10-13,Curd,4,Damaged Packaging,Packaging,1.8,BTCH001855,Quality Control
RTN000136,2025-03-23,Lassi,3,Damaged Packaging,Packaging,0.5,BTCH007147,Quality Control
RTN000137,2025-04-19,Curd,3,Wrong Product,Operations,1.0,BTCH001608,Quality Control
RTN000138,2025-02-09,Curd,8,Wrong Product,Operations,4.4,BTCH024165,Logistics
RTN000139,2025-02-10,Curd,8,Spoiled,Quality,8.2,BTCH052522,Customer Care
RTN000140,2024-11-27,Milk,10,Spoiled,Quality,1.5,BTCH073773,Customer Care
RTN000141,2025-02-24,Milk,4,Spoiled,Quality,5.6,BTCH054549,Quality Control
RTN000142,2024-11-13,Lassi,10,Late Delivery,Delivery,7.8,BTCH049857,Customer Care
RTN000143,2025-03-21,Ghee,5,Taste Issue,Quality,9.9,BTCH040027,Quality Control
RTN000144,2024-11-06,Lassi,1,Taste Issue,Quality,9.6,BTCH013007,Logistics
RTN000145,2025-07-12,Paneer,5,Spoiled,Quality,1.6,BTCH022783,Quality Control
RTN000146,2025-02-22,Milk,3,Spoiled,Quality,4.1,BTCH090358,Quality Control
RTN000147,2025-01-21,Ghee,5,Spoiled,Quality,2.3,BTCH092663,Customer Care
RTN000148,2025-02-13,Ghee,2,Late Delivery,Delivery,9.2,BTCH081928,Quality Control
RTN000149,2024-09-18,Paneer,7,Spoiled,Quality,5.4,BTCH084887,Logistics
RTN000150,2025-02-20,Curd,3,Spoiled,Quality,0.6,BTCH040320,Quality Control
RTN000151,2025-03-19,Lassi,5,Wrong Product,Operations,1.2,BTCH090267,Customer Care
RTN000152,2025-06-18,Ghee,5,Taste Issue,Quality,5.4,BTCH057378,Logistics
RTN000153,2025-03-01,Lassi,1,Wrong Product,Operations,7.3,BTCH079130,Customer Care
RTN000154,2024-08-27,Milk,2,Late Delivery,Delivery,9.6,BTCH075393,Quality Control
RTN000155,2025-07-24,Milk,5,Taste Issue,Quality,0.4,BTCH099126,Logistics
RTN000156,2025-01-16,Ghee,9,Wrong Product,Operations,9.2,BTCH023789,Quality Control
RTN000157,2025-01-22,Ghee,8,Spoiled,Quality,4.7,BTCH053524,Customer Care
RTN000158,2024-10-11,Curd,2,Late Delivery,Delivery,3.3,BTCH090922,Customer Care
RTN000159,2025-06-23,Curd,7,Taste Issue,Quality,0.4,BTCH011543,Customer Care
RTN000160,2025-08-01,Curd,6,Spoiled,Quality,9.7,BTCH052977,Quality Control
RTN000161,2024-09-07,Milk,9,Wrong Product,Operations,4.1,BTCH024587,Quality Control
RTN000162,2025-03-19,Curd,10,Wrong Product,Operations,6.3,BTCH099614,Logistics
RTN000163,2025-02-13,Paneer,5,Taste Issue,Quality,1.3,BTCH037753,Customer Care
RTN000164,2024-12-06,Ghee,2,Spoiled,Quality,9.7,BTCH079807,Logistics
RTN000165,2025-03-02,Paneer,5,Taste Issue,Quality,0.1,BTCH053477,Logistics
RTN000166,2025-01-14,Paneer,2,Wrong Product,Operations,9.5,BTCH084897,Logistics
RTN000167,2025-03-16,Ghee,5,Taste Issue,Quality,7.1,BTCH054460,Customer Care
RTN000168,2025-07-19,Ghee,4,Wrong Product,Operations,5.5,BTCH050278,Logistics
RTN000169,2025-02-13,Lassi,9,Late Delivery,Delivery,8.6,BTCH036209,Customer Care
RTN000170,2025-07-31,Curd,9,Damaged Packaging,Packaging,8.2,BTCH037073,Quality Control
RTN000171,2025-04-25,Curd,10,Taste Issue,Quality,10.0,BTCH064179,Logistics
RTN000172,2025-06-10,Ghee,9,Wrong Product,Operations,3.5,BTCH072341,Quality Control
RTN000173,2024-09-22,Ghee,8,Damaged Packaging,Packaging,8.7,BTCH091423,Logistics
RTN000174,2025-05-25,Lassi,7,Late Delivery,Delivery,8.6,BTCH053842,Logistics
RTN000175,2024-12-18,Curd,8,Wrong Product,Operations,3.9,BTCH086992,Quality Control
RTN000176,2025-02-19,Paneer,8,Spoiled,Quality,1.3,BTCH077357,Customer Care
RTN000177,2024-12-08,Milk,8,Spoiled,Quality,5.3,BTCH059891,Logistics
RTN000178,2024-12-25,Paneer,7,Late Delivery,Delivery,0.7,BTCH034738,Customer Care
RTN000179,2024-12-24,Lassi,7,Spoiled,Quality,8.5,BTCH088390,Quality Control
RTN000180,2025-06-10,Ghee,6,Wrong Product,Operations,8.7,BTCH004706,Quality Control
RTN000181,2025-01-24,Milk,4,Damaged Packaging,Packaging,10.0,BTCH097881,Logistics
RTN000182,2024-10-26,Ghee,2,Spoiled,Quality,4.4,BTCH090965,Customer Care
RTN000183,2024-08-20,Milk,1,Damaged Packaging,Packaging,8.0,BTCH038453,Customer Care
RTN000184,2024-12-01,Curd,7,Late Delivery,Delivery,2.4,BTCH054009,Quality Control
RTN000185,2024-09-12,Paneer,3,Late Delivery,Delivery,0.8,BTCH050141,Quality Control
RTN000186,2024-09-19,Paneer,8,Taste Issue,Quality,1.4,BTCH060444,Quality Control
RTN000187,2024-10-10,Curd,8,Damaged Packaging,Packaging,6.7,BTCH060982,Customer Care
RTN000188,2025-03-05,Lassi,3,Spoiled,Quality,4.4,BTCH045294,Quality Control
RTN000189,2025-02-03,Curd,7,Damaged Packaging,Packaging,4.6,BTCH039600,Logistics
RTN000190,2025-05-16,Ghee,8,Spoiled,Quality,2.4,BTCH074964,Customer Care
RTN000191,2024-08-16,Lassi,5,Damaged Packaging,Packaging,0.2,BTCH086276,Customer Care
RTN000192,2025-05-03,Curd,1,Taste Issue,Quality,8.7,BTCH097606,Logistics
RTN000193,2024-08-23,Lassi,8,Damaged Packaging,Packaging,7.8,BTCH030163,Quality Control
RTN000194,2024-11-16,Curd,4,Late Delivery,Delivery,6.2,BTCH088836,Quality Control
RTN000195,2025-02-24,Paneer,2,Spoiled,Quality,3.1,BTCH057780,Logistics
RTN000196,2025-05-19,Lassi,6,Late Delivery,Delivery,0.9,BTCH038681,Customer Care
RTN000197,2024-11-02,Ghee,3,Late Delivery,Delivery,1.3,BTCH070702,Customer Care
RTN000198,2025-05-13,Lassi,9,Damaged Packaging,Packaging,8.3,BTCH033682,Customer Care
RTN000199,2025-03-19,Curd,6,Spoiled,Quality,4.7,BTCH009870,Logistics
RTN000200,2025-06-30,Paneer,7,Taste Issue,Quality,3.7,BTCH051718,Logistics
RTN000201,2024-10-11,Curd,9,Spoiled,Quality,4.5,BTCH088189,Quality Control
RTN000202,2025-06-08,Curd,10,Wrong Product,Operations,8.2,BTCH048690,Logistics
RTN000203,2024-12-05,Paneer,8,Spoiled,Quality,6.2,BTCH073585,Customer Care
RTN000204,2024-11-19,Lassi,4,Spoiled,Quality,6.4,BTCH060853,Quality Control
RTN000205,2025-03-29,Curd,7,Spoiled,Quality,1.4,BTCH004878,Customer Care
RTN000206,2025-06-02,Ghee,2,Spoiled,Quality,2.3,BTCH070458,Logistics
RTN000207,2025-02-18,Ghee,8,Damaged Packaging,Packaging,6.7,BTCH097405,Quality Control
RTN000208,2024-09-30,Lassi,7,Taste Issue,Quality,7.4,BTCH020254,Customer Care
RTN000209,2025-04-20,Milk,8,Taste Issue,Quality,4.1,BTCH036667,Logistics
RTN000210,2024-10-14,Curd,4,Wrong Product,Operations,4.4,BTCH030948,Customer Care
RTN000211,2024-12-04,Milk,6,Taste Issue,Quality,9.0,BTCH084519,Customer Care
RTN000212,2024-08-26,Milk,7,Damaged Packaging,Packaging,1.9,BTCH016012,Customer Care
RTN000213,2024-09-04,Milk,4,Taste Issue,Quality,9.7,BTCH006630,Customer Care
RTN000214,2025-01-08,Paneer,3,Taste Issue,Quality,2.1,BTCH072642,Logistics
RTN000215,2025-01-26,Lassi,4,Late Delivery,Delivery,3.3,BTCH019341,Quality Control
RTN000216,2025-01-26,Milk,5,Late Delivery,Delivery,9.9,BTCH070808,Customer Care
RTN000217,2025-03-10,Paneer,2,Spoiled,Quality,1.3,BTCH046956,Logistics
RTN000218,2024-11-30,Lassi,6,Spoiled,Quality,1.7,BTCH006869,Logistics
RTN000219,2025-01-10,Ghee,9,Spoiled,Quality,7.5,BTCH062423,Customer Care
RTN000220,2024-09-18,Curd,9,Taste Issue,Quality,1.1,BTCH066040,Logistics
RTN000221,2025-05-07,Lassi,1,Taste Issue,Quality,3.0,BTCH084324,Logistics
RTN000222,2024-10-29,Milk,8,Wrong Product,Operations,4.3,BTCH014151,Customer Care
RTN000223,2025-04-30,Ghee,2,Spoiled,Quality,3.2,BTCH019443,Logistics
RTN000224,2025-04-02,Paneer,5,Taste Issue,Quality,6.3,BTCH071875,Quality Control
RTN000225,2025-02-27,Curd,7,Taste Issue,Quality,5.3,BTCH059470,Quality Control
RTN000226,2025-04-16,Lassi,7,Spoiled,Quality,7.9,BTCH014997,Quality Control
RTN000227,2025-06-15,Lassi,4,Wrong Product,Operations,4.5,BTCH029950,Customer Care
RTN000228,2024-11-19,Curd,8,Wrong Product,Operations,4.2,BTCH012464,Customer Care
RTN000229,2024-11-22,Ghee,6,Damaged Packaging,Packaging,3.7,BTCH020007,Quality Control
RTN000230,2025-02-09,Ghee,2,Spoiled,Quality,8.3,BTCH012220,Customer Care
RTN000231,2025-07-25,Milk,6,Late Delivery,Delivery,5.6,BTCH076870,Quality Control
RTN000232,2025-07-13,Lassi,6,Spoiled,Quality,4.1,BTCH087208,Customer Care
RTN000233,2025-02-17,Milk,5,Taste Issue,Quality,3.1,BTCH013580,Quality Control
RTN000234,2025-08-03,Lassi,4,Late Delivery,Delivery,6.6,BTCH029393,Logistics
RTN000235,2025-04-29,Curd,9,Damaged Packaging,Packaging,1.1,BTCH036513,Quality Control
RTN000236,2024-08-08,Paneer,7,Taste Issue,Quality,9.7,BTCH081491,Quality Control
RTN000237,2024-08-06,Lassi,1,Taste Issue,Quality,9.3,BTCH090895,Customer Care
RTN000238,2025-05-16,Milk,3,Damaged Packaging,Packaging,7.0,BTCH040500,Customer Care
RTN000239,2025-02-02,Curd,1,Late Delivery,Delivery,8.7,BTCH074229,Quality Control
RTN000240,2025-01-25,Ghee,2,Late Delivery,Delivery,7.4,BTCH004019,Logistics
RTN000241,2025-07-25,Lassi,4,Wrong Product,Operations,4.2,BTCH044682,Logistics
RTN000242,2025-04-02,Curd,5,Damaged Packaging,Packaging,7.8,BTCH074396,Quality Control
RTN000243,2024-10-10,Milk,1,Late Delivery,Delivery,1.6,BTCH080982,Logistics
RTN000244,2024-09-19,Milk,5,Wrong Product,Operations,6.6,BTCH063657,Quality Control
RTN000245,2025-06-15,Ghee,7,Damaged Packaging,Packaging,2.2,BTCH067155,Logistics
RTN000246,2025-07-24,Curd,7,Spoiled,Quality,2.8,BTCH088931,Quality Control
RTN000247,2025-07-22,Ghee,9,Damaged Packaging,Packaging,0.5,BTCH051808,Quality Control
RTN000248,2024-11-18,Milk,1,Late Delivery,Delivery,3.0,BTCH027687,Logistics
RTN000249,2025-06-29,Curd,5,Damaged Packaging,Packaging,1.2,BTCH065194,Quality Control
RTN000250,2024-12-06,Ghee,3,Late Delivery,Delivery,3.8,BTCH092232,Logistics
RTN000251,2024-12-24,Lassi,9,Damaged Packaging,Packaging,0.7,BTCH097261,Logistics
RTN000252,2024-10-11,Ghee,1,Wrong Product,Operations,9.2,BTCH041034,Quality Control
RTN000253,2025-02-16,Ghee,10,Wrong Product,Operations,7.1,BTCH054748,Customer Care
RTN000254,2024-08-06,Milk,7,Spoiled,Quality,9.7,BTCH022528,Quality Control
RTN000255,2024-09-21,Ghee,6,Spoiled,Quality,4.4,BTCH013876,Logistics
RTN000256,2024-09-30,Ghee,10,Wrong Product,Operations,5.2,BTCH051874,Customer Care
RTN000257,2024-11-13,Curd,4,Damaged Packaging,Packaging,7.8,BTCH010012,Quality Control
RTN000258,2024-12-05,Milk,9,Taste Issue,Quality,1.9,BTCH045794,Customer Care
RTN000259,2025-05-09,Paneer,4,Spoiled,Quality,1.5,BTCH025857,Logistics
RTN000260,2024-09-16,Lassi,3,Spoiled,Quality,1.8,BTCH082307,Customer Care
RTN000261,2024-10-29,Ghee,10,Taste Issue,Quality,4.5,BTCH073990,Quality Control
RTN000262,2025-07-26,Lassi,6,Damaged Packaging,Packaging,1.5,BTCH008951,Customer Care
RTN000263,2024-12-04,Ghee,5,Damaged Packaging,Packaging,5.9,BTCH046130,Quality Control
RTN000264,2025-04-08,Milk,5,Wrong Product,Operations,4.5,BTCH007457,Customer Care
RTN000265,2024-08-22,Curd,2,Spoiled,Quality,6.2,BTCH066463,Customer Care
RTN000266,2025-04-06,Ghee,10,Taste Issue,Quality,9.5,BTCH096852,Logistics
RTN000267,2025-07-09,Ghee,10,Late Delivery,Delivery,3.2,BTCH062342,Quality Control
RTN000268,2024-12-07,Paneer,1,Wrong Product,Operations,1.0,BTCH045016,Quality Control
RTN000269,2024-10-17,Milk,9,Late Delivery,Delivery,0.4,BTCH092750,Customer Care
RTN000270,2025-01-16,Ghee,9,Taste Issue,Quality,6.1,BTCH047697,Customer Care
RTN000271,2024-10-24,Curd,7,Wrong Product,Operations,7.7,BTCH088985,Quality Control
RTN000272,2025-06-01,Milk,6,Spoiled,Quality,3.3,BTCH073134,Quality Control
RTN000273,2024-12-25,Ghee,5,Damaged Packaging,Packaging,7.2,BTCH086058,Quality Control
RTN000274,2025-01-09,Paneer,6,Spoiled,Quality,5.8,BTCH018538,Customer Care
RTN000275,2025-02-01,Curd,7,Late Delivery,Delivery,6.0,BTCH011105,Customer Care
RTN000276,2024-10-20,Lassi,7,Damaged Packaging,Packaging,8.1,BTCH087834,Quality Control
RTN000277,2024-11-24,Lassi,2,Wrong Product,Operations,5.1,BTCH002390,Customer Care
RTN000278,2024-12-20,Curd,3,Late Delivery,Delivery,3.4,BTCH063737,Logistics
RTN000279,2024-09-20,Paneer,3,Late Delivery,Delivery,0.8,BTCH013257,Quality Control
RTN000280,2025-02-21,Lassi,9,Spoiled,Quality,6.6,BTCH081007,Logistics
RTN000281,2025-07-08,Lassi,7,Late Delivery,Delivery,1.6,BTCH090813,Quality Control
RTN000282,2025-05-24,Paneer,8,Spoiled,Quality,4.1,BTCH088653,Quality Control
RTN000283,2025-02-18,Paneer,8,Taste Issue,Quality,2.8,BTCH098113,Customer Care
RTN000284,2025-06-19,Paneer,9,Late Delivery,Delivery,3.1,BTCH061475,Logistics
RTN000285,2024-11-02,Curd,10,Wrong Product,Operations,4.6,BTCH036933,Customer Care
RTN000286,2024-10-15,Lassi,9,Wrong Product,Operations,9.7,BTCH026175,Quality Control
RTN000287,2025-01-24,Paneer,5,Spoiled,Quality,6.4,BTCH048656,Quality Control
RTN000288,2024-11-11,Milk,9,Spoiled,Quality,2.9,BTCH021013,Customer Care
RTN000289,2024-10-27,Ghee,9,Late Delivery,Delivery,8.3,BTCH012022,Logistics
RTN000290,2024-12-02,Ghee,6,Spoiled,Quality,4.1,BTCH051965,Quality Control
