complaint_id,date,product,complaint_type,taste_score,resolved,resolution_days,delivery_time,source_channel,complaint_severity,customer_rating_after_resolution
CMP000117,2025-05-13,Curd,Bad Smell,2.5,Yes,3.0,14.6,Low,Medium,3.3
CMP000118,2024-08-17,Milk,Taste Issue,4.5,Yes,7.0,22.3,Low,Low,3.5
CMP000119,2025-01-15,Curd,Late Delivery,4.6,No,,22.0,Medium,Low,
CMP000120,2025-08-05,Ghee,Bad Smell,5.0,No,,16.8,Low,Low,
CMP000121,2024-09-22,Curd,Spoiled Products,5.0,No,,6.1,Low,Low,
CMP000122,2024-10-27,Curd,Bad Smell,1.1,No,,9.5,Low,Medium,
CMP000123,2024-08-29,Milk,Taste Issue,4.0,No,,19.5,Low,Medium,
CMP000124,2025-07-14,Paneer,Spoiled Products,3.5,Yes,1.0,22.1,Medium,Low,3.9
CMP000125,2024-08-31,Lassi,Bad Smell,3.9,Yes,4.0,10.5,Low,Low,4.6
CMP000126,2025-06-21,Curd,Taste Issue,3.0,No,,20.6,Low,Medium,
CMP000127,2024-11-29,Ghee,Bad Smell,4.0,No,,20.1,Low,Low,
CMP000128,2024-10-14,Paneer,Packaging Issue,4.9,No,,5.8,Low,Low,
CMP000129,2025-06-16,Milk,Packaging Issue,2.5,No,,15.7,Medium,High,
CMP000130,2024-12-23,Milk,Spoiled Products,2.9,No,,22.3,Low,Low,
CMP000131,2024-12-27,Ghee,Bad Smell,3.6,Yes,2.0,4.9,Low,High,3.2
CMP000132,2025-03-23,Paneer,Taste Issue,1.5,No,,11.4,High,Medium,
CMP000133,2025-01-30,Lassi,Packaging Issue,3.3,Yes,6.0,17.1,Medium,Medium,4.9
CMP000134,2024-09-04,Curd,Late Delivery,3.8,Yes,7.0,12.9,Low,Low,5.0
CMP000135,2025-01-31,Curd,Taste Issue,4.6,No,,5.2,Low,High,
CMP000136,2025-01-15,Ghee,Late Delivery,3.7,Yes,0.0,19.7,Low,Low,4.1
CMP000137,2025-01-23,Milk,Taste Issue,1.8,Yes,3.0,10.6,Low,High,3.0
CMP000138,2024-11-05,Paneer,Spoiled Products,3.2,Yes,1.0,17.2,Low,Low,4.6
CMP000139,2025-03-20,Paneer,Taste Issue,2.3,Yes,4.0,5.0,Medium,Low,4.5
CMP000140,2024-12-03,Ghee,Packaging Issue,4.1,Yes,7.0,14.1,High,Low,4.6
CMP000141,2024-11-01,Lassi,Bad Smell,2.8,Yes,0.0,24.0,Medium,Low,3.2
CMP000142,2024-10-13,Ghee,Late Delivery,4.6,No,,16.2,Low,Low,
CMP000143,2024-08-29,Lassi,Taste Issue,3.8,No,,23.9,Low,Low,
CMP000144,2025-04-16,Lassi,Packaging Issue,1.4,Yes,3.0,12.6,Medium,Low,4.7
CMP000145,2024-11-16,Ghee,Packaging Issue,3.9,No,,12.5,Medium,Low,
CMP000146,2025-03-22,Paneer,Packaging Issue,1.3,Yes,1.0,12.6,Medium,Low,3.3
CMP000147,2025-03-23,Milk,Taste Issue,4.8,No,,17.4,Low,Medium,
CMP000148,2024-08-22,Ghee,Late Delivery,4.9,No,,11.0,Low,Low,
CMP000149,2025-03-19,Ghee,Spoiled Products,4.4,No,,20.9,Low,Medium,
CMP000150,2025-07-03,Lassi,Spoiled Products,4.2,Yes,4.0,4.6,Low,Medium,4.8
CMP000151,2025-01-15,Curd,Late Delivery,1.7,Yes,6.0,5.4,Medium,High,3.2
CMP000152,2024-11-20,Lassi,Spoiled Products,2.5,No,,10.8,Low,Medium,
CMP000153,2025-02-13,Lassi,Taste Issue,1.3,Yes,2.0,7.1,Medium,Medium,3.5
CMP000154,2024-12-08,Ghee,Packaging Issue,3.4,No,,9.5,Medium,Low,
CMP000155,2025-01-05,Ghee,Late Delivery,2.1,No,,14.5,Low,Low,
CMP000156,2024-08-18,Lassi,Late Delivery,1.0,No,,22.9,Medium,Medium,
CMP000157,2024-09-01,Curd,Bad Smell,1.5,No,,18.9,Low,Low,
CMP000158,2025-03-04,Paneer,Taste Issue,3.2,No,,5.4,Medium,Low,
CMP000159,2025-07-28,Milk,Packaging Issue,4.7,No,,15.5,Low,Medium,
CMP000160,2025-03-26,Ghee,Bad Smell,1.5,Yes,5.0,7.4,High,Low,4.4
CMP000161,2024-11-05,Curd,Late Delivery,2.7,Yes,3.0,12.7,Low,Low,4.7
CMP000162,2024-08-22,Curd,Spoiled Products,2.3,Yes,1.0,14.2,Low,Low,4.8
CMP000163,2025-06-21,Curd,Bad Smell,3.9,Yes,3.0,6.1,Low,Low,3.3
CMP000164,2025-06-05,Milk,Spoiled Products,4.8,No,,13.3,Low,Low,
CMP000165,2024-08-09,Lassi,Taste Issue,2.3,No,,7.0,Low,Low,
CMP000166,2025-04-29,Curd,Bad Smell,3.4,No,,14.1,Low,Low,
CMP000167,2025-05-05,Milk,Bad Smell,4.3,Yes,1.0,16.3,Low,Low,4.1
CMP000168,2024-08-14,Milk,Packaging Issue,4.6,Yes,5.0,16.1,Low,High,3.9
CMP000169,2024-11-29,Curd,Late Delivery,3.0,Yes,0.0,9.0,Low,Low,4.0
CMP000170,2024-09-22,Paneer,Bad Smell,2.5,No,,11.7,Medium,Medium,
CMP000171,2024-10-13,Milk,Bad Smell,1.3,Yes,6.0,9.7,Medium,Medium,4.8
CMP000172,2025-05-10,Paneer,Bad Smell,1.3,Yes,5.0,10.2,Medium,Medium,3.3
CMP000173,2024-10-04,Milk,Bad Smell,3.2,No,,20.3,Medium,Medium,
CMP000174,2025-03-16,Lassi,Late Delivery,3.6,No,,14.2,Low,Low,
CMP000175,2024-11-02,Paneer,Bad Smell,4.8,No,,7.8,High,Low,
CMP000176,2025-05-04,Curd,Late Delivery,3.0,Yes,5.0,21.5,Medium,Low,3.3
CMP000177,2025-08-05,Paneer,Taste Issue,4.2,Yes,7.0,4.9,Low,Medium,4.9
CMP000178,2025-01-08,Lassi,Bad Smell,4.0,No,,8.7,Low,High,
CMP000179,2024-11-14,Ghee,Spoiled Products,2.5,No,,13.2,Low,Low,
CMP000180,2025-04-19,Lassi,Packaging Issue,4.9,Yes,2.0,21.5,Low,Low,3.7
CMP000181,2025-03-31,Milk,Taste Issue,4.4,No,,5.7,Low,Low,
CMP000182,2025-01-30,Lassi,Spoiled Products,4.3,Yes,3.0,20.3,Medium,High,3.8
CMP000183,2024-09-16,Ghee,Taste Issue,2.5,No,,23.9,Low,Low,
CMP000184,2024-12-31,Milk,Bad Smell,4.2,Yes,0.0,9.7,Medium,Medium,3.3
CMP000185,2025-03-27,Ghee,Packaging Issue,3.5,Yes,0.0,9.1,Medium,Low,4.5
CMP000186,2024-10-18,Lassi,Packaging Issue,1.4,No,,8.8,Low,Low,
CMP000187,2025-01-27,Lassi,Packaging Issue,1.3,No,,15.9,Low,Low,
CMP000188,2024-10-25,Paneer,Spoiled Products,2.2,Yes,5.0,8.8,Low,Medium,3.2
CMP000189,2024-10-31,Curd,Late Delivery,4.8,Yes,6.0,21.5,Low,Low,3.7
CMP000190,2025-04-22,Milk,Bad Smell,4.2,No,,8.8,Medium,Low,
CMP000191,2025-02-12,Lassi,Bad Smell,1.5,No,,14.9,Medium,Low,
CMP000192,2024-08-11,Ghee,Packaging Issue,3.5,Yes,1.0,18.3,High,Low,3.4
CMP000193,2024-11-29,Paneer,Late Delivery,2.3,No,,14.3,High,Low,
CMP000194,2025-03-03,Curd,Late Delivery,4.0,Yes,4.0,11.1,Medium,Medium,3.7
CMP000195,2025-04-06,Milk,Bad Smell,2.7,No,,18.9,Medium,Low,
CMP000196,2025-01-20,Paneer,Packaging Issue,3.8,No,,22.5,Low,Medium,
CMP000197,2025-01-27,Ghee,Late Delivery,2.7,Yes,4.0,10.4,Low,Medium,3.6
CMP000198,2024-08-29,Lassi,Packaging Issue,1.7,No,,11.0,Low,Medium,
CMP000199,2025-01-03,Curd,Taste Issue,5.0,No,,16.8,Medium,Low,
CMP000200,2025-04-12,Ghee,Bad Smell,3.1,Yes,0.0,6.9,Medium,Medium,3.1
CMP000201,2025-04-26,Milk,Spoiled Products,4.1,No,,11.2,High,Low,
CMP000202,2025-06-24,Paneer,Packaging Issue,4.8,No,,12.9,Low,Low,
CMP000203,2025-07-08,Curd,Packaging Issue,2.3,No,,9.0,Low,Medium,
CMP000204,2025-04-11,Ghee,Taste Issue,2.5,Yes,4.0,19.5,Medium,Low,4.2
CMP000205,2024-09-07,Ghee,Spoiled Products,1.5,Yes,7.0,7.5,Medium,High,4.6
CMP000206,2024-10-15,Curd,Bad Smell,3.8,No,,21.8,Medium,Medium,
CMP000207,2024-12-05,Paneer,Bad Smell,3.0,Yes,3.0,19.8,Low,Low,3.7
CMP000208,2025-03-31,Lassi,Bad Smell,2.9,Yes,1.0,5.3,Low,Medium,4.0
CMP000209,2025-03-05,Ghee,Packaging Issue,4.3,Yes,2.0,23.4,Medium,Low,4.4
CMP000210,2024-12-17,Curd,Spoiled Products,4.5,Yes,2.0,12.7,High,Low,3.2
CMP000211,2024-11-30,Paneer,Bad Smell,1.7,No,,22.7,Low,High,
CMP000212,2024-09-15,Lassi,Bad Smell,4.4,No,,7.9,High,Low,
CMP000213,2024-09-29,Curd,Taste Issue,3.1,Yes,2.0,7.4,Medium,High,3.7
CMP000214,2024-08-20,Lassi,Late Delivery,4.3,Yes,1.0,4.9,Medium,Low,4.3
CMP000215,2024-10-25,Lassi,Packaging Issue,3.5,Yes,7.0,21.8,Low,Medium,3.6
CMP000216,2024-10-17,Paneer,Packaging Issue,2.2,Yes,0.0,7.2,Low,Low,3.7
CMP000217,2024-11-16,Paneer,Bad Smell,4.4,No,,18.7,Medium,High,
CMP000218,2024-12-01,Paneer,Bad Smell,3.1,Yes,5.0,8.8,Low,Low,3.3
CMP000219,2024-12-15,Milk,Bad Smell,4.8,No,,9.0,Medium,Low,
CMP000220,2025-01-28,Curd,Taste Issue,3.9,Yes,2.0,14.0,Low,Low,3.6
CMP000221,2024-09-22,Milk,Late Delivery,4.8,No,,23.3,Low,Low,
CMP000222,2025-04-07,Milk,Bad Smell,3.0,No,,9.7,Low,Low,
CMP000223,2024-10-19,Paneer,Bad Smell,3.9,No,,11.3,Low,Low,
CMP000224,2024-09-06,Paneer,Bad Smell,3.2,Yes,6.0,14.1,Medium,Low,5.0
CMP000225,2025-08-04,Lassi,Late Delivery,1.5,Yes,6.0,11.5,High,Low,3.7
CMP000226,2024-09-22,Paneer,Spoiled Products,3.4,No,,14.0,Low,Low,
CMP000227,2024-12-24,Curd,Packaging Issue,3.1,Yes,2.0,10.6,Medium,Low,5.0
CMP000228,2024-09-04,Curd,Taste Issue,2.3,No,,18.2,Low,Medium,
CMP000229,2025-04-24,Curd,Bad Smell,3.7,No,,15.7,Medium,Medium,
CMP000230,2024-09-20,Milk,Taste Issue,2.9,Yes,0.0,15.7,Low,Medium,4.2
CMP000231,2025-05-29,Ghee,Spoiled Products,4.3,Yes,0.0,15.5,Medium,Low,3.9
CMP000232,2025-03-12,Ghee,Spoiled Products,2.7,Yes,6.0,14.0,Medium,Low,4.7
CMP000233,2024-10-29,Milk,Spoiled Products,3.1,No,,24.0,Low,Low,
CMP000234,2025-02-08,Paneer,Packaging Issue,4.6,No,,14.9,Medium,Medium,
CMP000235,2024-12-19,Curd,Taste Issue,2.9,Yes,4.0,15.2,Low,High,3.6
CMP000236,2025-01-03,Curd,Spoiled Products,3.8,No,,10.3,Low,High,
CMP000237,2025-08-01,Curd,Bad Smell,1.5,No,,21.9,Low,Low,
CMP000238,2024-08-22,Paneer,Bad Smell,1.2,Yes,5.0,22.5,Medium,Medium,3.4
CMP000239,2025-02-11,Lassi,Bad Smell,4.7,No,,6.7,Medium,Low,
CMP000240,2025-08-03,Paneer,Late Delivery,3.7,Yes,3.0,5.0,Low,Medium,3.2
CMP000241,2025-07-08,Paneer,Late Delivery,4.9,Yes,6.0,17.1,Medium,Low,4.3
CMP000242,2024-09-27,Curd,Bad Smell,2.1,Yes,1.0,17.0,Low,Medium,4.7
CMP000243,2024-10-22,Milk,Spoiled Products,2.7,Yes,0.0,23.9,Low,Low,4.9
CMP000244,2025-07-30,Curd,Late Delivery,1.0,Yes,5.0,9.7,High,Low,4.0
CMP000245,2025-07-09,Paneer,Taste Issue,2.9,Yes,1.0,10.6,Medium,Medium,4.4
CMP000246,2025-06-10,Milk,Bad Smell,4.2,Yes,2.0,16.2,Medium,Low,3.9
CMP000247,2025-01-10,Curd,Late Delivery,2.6,Yes,2.0,23.6,Low,High,3.0
CMP000248,2024-10-10,Ghee,Spoiled Products,2.8,No,,23.1,Low,Medium,
CMP000249,2025-01-01,Milk,Bad Smell,3.6,Yes,0.0,17.4,Low,Low,4.4
CMP000250,2025-01-20,Curd,Late Delivery,3.6,No,,11.4,Low,High,
CMP000251,2025-03-10,Ghee,Spoiled Products,2.8,No,,12.3,Low,Low,
CMP000252,2024-12-15,Lassi,Spoiled Products,4.0,Yes,7.0,14.6,Low,High,3.2
CMP000253,2024-12-10,Lassi,Taste Issue,1.8,Yes,2.0,10.6,Low,Low,3.4
CMP000254,2025-02-21,Lassi,Packaging Issue,1.4,No,,20.2,Low,Low,
CMP000255,2025-02-21,Ghee,Taste Issue,1.2,No,,17.5,Low,Low,
CMP000256,2024-12-03,Curd,Late Delivery,4.0,Yes,0.0,12.5,Medium,Low,3.1
CMP000257,2025-02-11,Milk,Packaging Issue,1.1,No,,7.6,Low,Medium,
CMP000258,2025-05-26,Ghee,Bad Smell,5.0,No,,13.0,High,Low,
CMP000259,2024-10-03,Milk,Taste Issue,1.5,No,,6.4,High,Low,
CMP000260,2025-03-08,Paneer,Spoiled Products,4.3,Yes,4.0,13.3,Medium,Low,3.8
CMP000261,2025-06-10,Paneer,Spoiled Products,2.8,Yes,4.0,7.8,Medium,Medium,3.1
CMP000262,2025-04-07,Ghee,Taste Issue,4.1,Yes,3.0,8.1,Low,Low,4.2
CMP000263,2025-07-17,Milk,Spoiled Products,4.0,No,,12.8,Low,Medium,
CMP000264,2025-04-16,Milk,Spoiled Products,3.0,No,,8.7,High,Low,
CMP000265,2025-06-12,Lassi,Taste Issue,4.1,No,,8.7,Medium,High,
CMP000266,2025-02-13,Lassi,Spoiled Products,2.7,No,,5.2,High,Medium,
CMP000267,2025-07-22,Paneer,Packaging Issue,3.2,Yes,5.0,22.8,Medium,Medium,3.6
CMP000268,2024-12-25,Ghee,Packaging Issue,1.6,No,,7.7,Low,Low,
CMP000269,2025-05-03,Paneer,Bad Smell,4.4,Yes,7.0,22.3,Low,High,4.1
CMP000270,2025-03-16,Paneer,Packaging Issue,2.0,Yes,5.0,16.9,High,Medium,3.2
CMP000271,2024-12-29,Paneer,Late Delivery,2.1,Yes,1.0,7.8,Medium,Medium,4.1
CMP000272,2025-06-19,Ghee,Spoiled Products,4.5,No,,10.1,High,Low,
CMP000273,2025-03-03,Paneer,Late Delivery,4.0,No,,22.3,Medium,Medium,
CMP000274,2025-01-25,Ghee,Spoiled Products,3.2,No,,11.6,Low,Low,
CMP000275,2025-03-18,Curd,Bad Smell,3.1,No,,13.3,Medium,Medium,
CMP000276,2025-02-07,Curd,Spoiled Products,2.5,No,,4.9,Medium,Medium,
CMP000277,2025-02-15,Milk,Bad Smell,3.2,No,,9.9,Low,Low,
CMP000278,2025-07-04,Lassi,Spoiled Products,3.0,No,,9.1,Medium,High,
CMP000279,2024-11-16,Ghee,Packaging Issue,1.7,No,,7.4,Medium,Low,
CMP000280,2025-04-29,Lassi,Late Delivery,3.1,Yes,0.0,19.3,Low,Medium,3.5
CMP000281,2025-03-24,Paneer,Late Delivery,1.9,No,,11.5,Medium,Medium,
CMP000282,2024-12-07,Lassi,Packaging Issue,3.6,Yes,0.0,14.6,Low,Low,4.4
CMP000283,2025-01-06,Lassi,Bad Smell,1.1,No,,20.1,High,Low,
CMP000284,2025-01-31,Milk,Taste Issue,1.6,Yes,4.0,20.3,Low,Low,3.7
CMP000285,2025-05-10,Ghee,Packaging Issue,3.3,Yes,4.0,17.7,Medium,Medium,4.7
CMP000286,2024-09-24,Milk,Late Delivery,2.6,No,,15.1,Low,Low,
CMP000287,2024-11-30,Paneer,Late Delivery,3.0,No,,16.9,Low,High,
CMP000288,2025-04-06,Milk,Taste Issue,4.7,Yes,3.0,22.0,Medium,Low,3.5
CMP000289,2024-12-10,Milk,Bad Smell,4.6,Yes,2.0,22.6,Low,High,4.2
CMP000290,2025-02-02,Ghee,Late Delivery,2.2,Yes,6.0,17.5,Low,Low,4.5
CMP000291,2025-03-27,Milk,Taste Issue,4.0,No,,5.1,Low,Medium,
CMP000292,2025-07-25,Curd,Taste Issue,4.1,No,,23.4,Low,Medium,
CMP000293,2025-02-22,Ghee,Packaging Issue,1.9,No,,12.6,Medium,Medium,
